vx,vy,wz
-4.401908457469129042e-04,-1.324960911949474946e-03,1.169960702275264254e-03
-3.206582664716870336e-04,-1.444431024283918986e-03,-7.019678018523433771e-04
1.269230634784682002e-04,-7.728468422694687902e-04,1.015983561309104482e-03
1.267321044684979856e-04,1.765817999284987260e-03,8.957497701661152820e-05
9.107558644928285228e-04,1.230256982876226039e-03,-1.680840182776221581e-04
6.156256682645208297e-04,1.063094002060407261e-04,1.839794315276694139e-04
-2.818805099979982375e-04,-1.422598095387344361e-04,-5.286314272581421701e-04
-1.034983001437411233e-04,-6.315963393462955319e-04,-4.355385507765405489e-04
8.342019776255571320e-04,-8.528061204269811110e-04,4.644204455354453446e-04
1.089528428169446493e-03,4.161324619187942636e-05,5.339338380883865576e-04
-8.809598188148545219e-04,6.091853639853243461e-04,-4.091869738693413390e-05
-3.911649197929942083e-04,7.541144776936959705e-05,-2.099654449882070622e-04
-2.280135953707651401e-04,-6.120442582210151644e-05,1.168113315243052069e-03
-2.431542844431051637e-03,6.353465605037458049e-04,2.174523687130565375e-04
-1.808204344957277908e-03,5.339475319133943007e-04,-1.169328547659390571e-03
3.053664946659840566e-03,-2.655221881564091238e-05,5.639618439520455943e-04
-6.128011323502768459e-04,-3.862225311771423403e-04,-5.826844005223367389e-04
-6.151726018811342180e-04,1.629036869324533793e-04,-6.620730807462115852e-04
-7.137501310793900470e-04,9.960261563587905333e-05,-5.432617410970334198e-04
-4.938536078534063248e-04,-8.152835277063671363e-05,-1.757201944325243121e-04
1.694705929826016005e-03,1.644522159075627603e-04,-1.446454740755126738e-04
5.473385268941095838e-04,-9.226804621929613620e-04,-2.272883317649822960e-03
1.324196605355568818e-04,-2.923240125743852198e-04,1.094979837368203254e-03
-1.682454214332741553e-04,-2.263589257194771110e-04,1.889737869353227268e-04
-1.346598068317414725e-04,1.220857473205671584e-03,1.548929707873848401e-04
2.981157450244431269e-04,1.674843943953247677e-03,-6.312624385432141685e-04
-4.694752818222244252e-05,8.569267714169553126e-04,1.350235474587104835e-04
-4.047894775920037763e-04,1.037150102730969269e-03,-6.286683663507682766e-04
-1.337573202208173486e-03,1.157393989752256982e-03,7.603898421283364524e-04
8.102510437455582876e-04,9.537187073029420106e-04,-7.842226982310829785e-04
5.455057068710529589e-04,9.511970015094816473e-04,1.094037179770466269e-03
-1.131859918048430062e-03,-1.922878838713377168e-04,-6.003403437329586428e-04
1.297501923717937593e-03,-7.113229169575620899e-04,4.525595707712624493e-04
1.333342405667736763e-03,-7.917685606342568863e-04,2.939948376418019538e-04
8.920315447325320290e-04,1.780498393435729892e-03,-6.151498197866369592e-04
1.965131026738386631e-04,6.796370446586796118e-04,-3.851516936311598057e-04
1.337651685678846306e-04,-6.067905754077908146e-04,2.678327167666291969e-04
1.197648607759153275e-03,-4.352534176670286498e-04,1.425392071289666163e-03
9.921059149290567189e-03,2.052124946077090643e-04,5.054124481360293755e-03
2.370543968105782995e-02,-1.911936229961944383e-03,-2.656901189659554262e-03
3.272513363156696886e-02,-3.591502999866785610e-03,6.854781070772404325e-03
4.164568788461547877e-02,3.933239454445708327e-04,2.480203008181981403e-03
2.861200353963640891e-02,-2.276725023219891130e-03,2.333575076844016018e-03
2.943334637437351048e-02,-4.930590054449695073e-03,-1.306678249773962283e-02
4.434884668109602412e-02,-2.640670988066784117e-03,9.356899291579656372e-03
4.598691586479670967e-02,-2.957538424876756614e-03,-1.909646920629969047e-03
3.877430858817384335e-02,-4.574922141210288618e-03,2.807594401097762704e-03
3.598438060782328113e-02,-1.847947442584728806e-03,-3.673088126335415093e-02
8.669616112395218954e-02,-1.923985074937617111e-03,-1.177218232156113098e-02
1.168235348876358742e-01,-1.346657527052132035e-02,5.180706860256206747e-02
1.143074061297550126e-01,-1.222699470481500295e-02,-6.051081240993794186e-03
1.191516039399698468e-01,-8.643066225116824083e-03,-1.437391298948242045e-02
1.462582065220301708e-01,-8.828416669987487753e-03,-1.898807177149379813e-02
2.094129929585329952e-01,-1.431844214851784973e-02,1.748072700561285192e-02
1.964144058878624644e-01,-5.407133633646102333e-03,-9.938794104919531757e-04
1.929564265533681433e-01,2.989938649356097683e-03,1.618256514974423729e-02
1.942836323893106787e-01,-5.449051055615161676e-03,2.444510002706948987e-02
1.813279182730776207e-01,-1.326793643604941286e-02,-6.529377726917924563e-03
1.802706495280279597e-01,1.305422784551630092e-02,-4.734753490491722117e-02
1.827425214582144575e-01,1.194930089448812717e-02,4.836842127066325395e-03
2.066973876157397749e-01,3.379533738757322780e-03,-1.638837821398486660e-02
2.217334223621614531e-01,6.321939930582465630e-03,-1.400154503485506567e-02
2.195153590858228143e-01,9.261233888805208911e-03,-1.714848154926675028e-02
2.597162132518334166e-01,1.337317146767918324e-03,1.052850054972928259e-02
2.555101359777124381e-01,-7.699220932381142454e-03,7.132944630305168739e-03
2.923901362394796810e-01,-2.602278248480055858e-02,-1.150916657321814952e-02
3.249678618941072572e-01,-3.855891695969630717e-02,-8.045316869112325783e-03
3.360443211047308143e-01,-3.262122624950691829e-02,2.900449936897445732e-03
3.494514506129781095e-01,-1.782675397236668444e-02,-6.654657760329665134e-03
3.572700953411467872e-01,-2.053475406365749822e-02,3.376739473764168650e-03
3.879803665924156375e-01,-5.458807668594371776e-02,1.980645434743973782e-02
4.096763678390882846e-01,-5.661681621371679463e-02,-3.479056960066877202e-02
3.807397543734390433e-01,-1.290852307169375324e-02,1.524031504559336713e-03
3.325870221290852524e-01,-1.150289340064381688e-03,-1.039345960977816445e-02
3.407399663684783642e-01,-1.114063487933712911e-02,-4.940382705125181441e-03
3.719661807982959090e-01,-2.783523010106291051e-02,9.684445058746816298e-03
3.536893859080270097e-01,-3.232208066896710003e-02,1.073955369629932786e-02
3.212502951334960111e-01,-3.237450194807482695e-02,3.956450848765544204e-03
3.359114253938872419e-01,7.330346869536636875e-03,-3.405256841870765716e-02
3.501012457577200032e-01,2.111733566365252973e-02,3.922371441758959465e-02
3.426862344041262110e-01,7.372064016204805080e-03,9.675811749136689621e-03
3.505200825916434670e-01,1.050474138340927281e-02,-2.301414241571995631e-02
3.297763726863753853e-01,1.316612421393518507e-02,2.032705029354764034e-02
3.231556835314955967e-01,-4.921558112902237395e-03,3.348483307601880787e-02
3.260964730078612650e-01,-3.123603901062821375e-02,3.956644752583730884e-02
3.534733363575752185e-01,-1.895500135213090687e-02,3.885529741658660247e-02
3.960065803333788215e-01,1.834298606875054902e-02,4.386272904756609303e-02
4.471775890997913283e-01,2.585885084244127913e-02,7.458694808280599831e-02
4.601749068854763536e-01,6.570869889382362911e-03,6.380673667233929813e-02
5.260495162674375669e-01,-7.382398685312398061e-03,4.356577037066410724e-02
5.013150976912550405e-01,2.851657486491426460e-02,3.130869065946807056e-02
4.771988594345033530e-01,2.900836960388454913e-02,6.528676430781258505e-03
4.930683065736601867e-01,3.131145999146620756e-02,6.974143599187471176e-02
5.161605522804227908e-01,2.922837007950847971e-02,6.694176723907670212e-02
5.126871887009116779e-01,3.074164537018841264e-02,7.297940442003220118e-02
4.992617370498387830e-01,3.115806521940677615e-02,7.156452698513623978e-02
5.064301856939428248e-01,2.140672731856743671e-02,6.364328792245529942e-02
4.656399653545492123e-01,4.076194775749824618e-03,1.000950223131484157e-01
4.426510142497676603e-01,1.863305955080361148e-02,9.589558525868530081e-02
3.749811486685672990e-01,3.371116900265837962e-02,1.556053641400482156e-02
3.496839411092542704e-01,2.287875413796804092e-02,9.305178645253747716e-02
3.717800631825836644e-01,-1.837570603284594678e-02,1.646905200695092386e-01
3.926747056539698355e-01,-3.032438629072155625e-03,1.000771601869324262e-01
4.767597856595896522e-01,2.445615469280616044e-02,1.373832507549850590e-01
4.384483897543401398e-01,3.786965498219812404e-02,1.810805783311528194e-01
4.418015559469074538e-01,-9.583692459536335842e-04,2.371887225259476928e-01
4.401195075716144434e-01,-2.236459974589772789e-02,2.902595419602871929e-01
4.097564058644033724e-01,-2.476379762980589205e-02,3.352532302683546295e-01
4.076391635600726260e-01,-7.951108085952422397e-03,4.017036446303293151e-01
4.534890854303296748e-01,1.179686785281080716e-02,4.746075654637596508e-01
5.871183960147731140e-01,1.065389565469010424e-01,4.743472318702964263e-01
6.725994888976746244e-01,1.314383051000443670e-01,4.783485127069785348e-01
5.614433768658049217e-01,5.646216721391235371e-02,4.824462205461728104e-01
3.853610024526291089e-01,-5.586386253186007705e-02,5.386000515752725759e-01
2.846377982471450796e-01,-4.189719859449731604e-02,4.094017682652796308e-01
4.860643492386946818e-01,4.315417542046894733e-02,5.401170870877126662e-01
5.179951194979733886e-01,2.129153645283296190e-02,4.652401217840238523e-01
4.562542530693136089e-01,-5.651978373266671601e-02,4.778865417589975295e-01
3.184027493431910716e-01,-6.104359149343272645e-02,5.793849784817323156e-01
3.102609028213929032e-01,-2.760062813266131454e-02,5.051835422213681870e-01
3.936935164973124346e-01,-3.003966087745924690e-02,4.769021328623756495e-01
4.123265093859521668e-01,-3.476323343162580209e-02,4.648568697390645932e-01
